GROUP;PACKAGE;CLASS;Coverage Instructions;Coverage Branches;Coverage Lines;Coverage Complexity;Coverage Methods;Missed Instructions;Covered Instructions;Missed Branches;Covered Branches;Missed Lines;Covered Lines;Missed Complexity;Covered Complexity;Missed Methods;Covered Methods
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;UnitType;100%;0,00%;100,00%;100,00%;100,00%;0;24;0;0;0;5;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;RectangleEdge;74%;50,00%;60,87%;47,06%;80,00%;25;73;9;9;9;14;9;8;1;4
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;SortOrder;100%;0,00%;100,00%;100,00%;100,00%;0;24;0;0;0;5;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;HorizontalAlignment;100%;0,00%;100,00%;100,00%;100,00%;0;34;0;0;0;7;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;VerticalAlignment;100%;0,00%;100,00%;100,00%;100,00%;0;34;0;0;0;7;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;RectangleAnchor;58%;25,00%;59,42%;28,57%;100,00%;131;178;15;5;28;41;15;6;0;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;Rotation;100%;0,00%;100,00%;100,00%;100,00%;0;37;0;0;0;9;0;3;0;3
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;RectangleAlignment;98%;92,31%;98,63%;92,86%;100,00%;5;286;1;12;1;72;1;13;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;RectangleInsets;45%;35,71%;55,03%;44,83%;76,67%;381;317;36;20;67;82;32;26;7;23
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;XYCoordinateType;100%;0,00%;100,00%;100,00%;100,00%;0;34;0;0;0;7;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;TableOrder;100%;0,00%;100,00%;100,00%;100,00%;0;24;0;0;0;5;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;LengthAdjustmentType;100%;0,00%;100,00%;100,00%;100,00%;0;34;0;0;0;7;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.api;Layer;100%;0,00%;100,00%;100,00%;100,00%;0;24;0;0;0;5;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;CombinedRangeCategoryPlot;71%;52,33%;73,16%;39,39%;65,22%;213;521;41;45;51;139;40;26;8;15
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;PlotState;100%;0,00%;100,00%;100,00%;100,00%;0;11;0;0;0;4;0;2;0;2
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;PlotRenderingInfo;67%;55,00%;72,41%;64,00%;86,67%;72;148;9;11;16;42;9;16;2;13
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;MeterPlotProduct2;81%;38,89%;85,45%;59,09%;100,00%;38;157;11;7;8;47;9;13;0;13
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;FastScatterPlot;79%;64,29%;74,66%;52,48%;59,62%;226;838;35;63;74;218;48;53;21;31
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;PolarAxisLocation;100%;0,00%;100,00%;100,00%;100,00%;0;84;0;0;0;17;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;DialShape;100%;0,00%;100,00%;100,00%;100,00%;0;34;0;0;0;7;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;SpiderWebPlotProduct3;100%;0,00%;100,00%;100,00%;100,00%;0;37;0;0;0;15;0;8;0;8
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;SpiderWebPlotProduct2;100%;0,00%;100,00%;100,00%;100,00%;0;28;0;0;0;11;0;6;0;6
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;MeterPlot;89%;70,69%;88,60%;56,67%;66,13%;165;1294;34;82;40;311;52;68;21;41
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;PlotProduct2;45%;50,00%;56,76%;60,00%;90,00%;76;62;5;5;16;21;6;9;1;9
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;CrosshairState;26%;6,25%;38,10%;46,43%;65,00%;151;53;15;1;39;24;15;13;7;13
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;RingPlot;38%;35,71%;42,86%;42,42%;51,61%;431;262;45;25;120;90;38;28;15;16
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;SeriesRenderingOrder;100%;0,00%;100,00%;100,00%;100,00%;0;24;0;0;0;5;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;DatasetRenderingOrder;100%;0,00%;100,00%;100,00%;100,00%;0;24;0;0;0;5;0;1;0;1
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;CombinedDomainXYPlot;61%;47,32%;62,55%;38,89%;55,88%;364;573;59;53;91;152;55;35;15;19
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;PlotProduct3;100%;87,50%;100,00%;90,00%;100,00%;0;64;1;7;0;17;1;9;0;6
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;SpiderWebPlot;86%;70,63%;86,79%;63,57%;74,24%;226;1445;37;89;58;381;47;82;17;49
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;SpiderWebPlotProduct;91%;50,00%;94,44%;72,73%;100,00%;5;49;3;3;1;17;3;8;0;8
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;CombinedDomainCategoryPlot;64%;48,96%;65,16%;37,66%;58,62%;318;568;49;47;77;144;48;29;12;17
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;CombinedRangeXYPlot;59%;42,16%;59,91%;36,59%;54,84%;365;516;59;43;89;133;52;30;14;17
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;ThermometerPlot;38%;42,35%;43,05%;28,30%;34,25%;1130;694;98;72;258;195;114;45;48;25
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;WaferMapPlot;0%;0,00%;0,00%;0,00%;0,00%;581;0;44;0;152;0;37;0;15;0
java (16/05/2022 05:44:50)/jfreechart-master/src/main/java;org.jfree.chart.plot;XYCrosshairState;0%;0,00%;0,00%;0,00%;0,00%;3;0;0;0;2;0;1;0;1;0
